brand_name,good_name,price,zhupingchicun,zhupingfenbianlv,houzhishexiangtou,qianzhishexiangtou,dianchirongliang,dianchileixing,hexinshu,neicun,pingfen,pinglunrenshu,xingjiabi,xingneng,xuhang,waiguan,paizhao,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,good_na
AGM,AGM X1（高配版/全网通）,2799,5.5英寸,1920x1080像素,,500万像素,5400mAh,不可拆卸式电池,真八核,4GB,8.4,29,9.1,3,10,9.1,9,续航出色,-7,性价比高,-2,系统流畅,-2,电池容量大,-1,性能好,-1,信号强,-1,系统强悍,-1,视频流畅效果好,-1,价格便宜,-1,摄像效果出色,-1,屏幕效果好,-1,成像效果好,-1,屏幕大,-1,性价比高,-1,手感舒适,-1,配置低,-1,续航一般,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM X1
Ant,Ant one Q9（全网通）,2999,5.5英寸,1920x1080像素,1600万像素,1300万像素,2600mAh,不可拆卸式电池,八核,4GB,3.6,2,0.8,4.8,2.8,4.8,4.8,,,价格高,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ant one Q9
COMIO,COMIO C1（全网通）,1999,5.2英寸,1280x720像素,1300万像素,500万像素,2250mAh,,四核,3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMIO C1
COMIO,COMIO i1（全网通）,1799,5.5英寸,1280x720像素,1300万像素,500万像素,2450mAh,,四核,3GB,9.8,2,10,10,10,10,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMIO i1
Google,Google Pixel XL（双4G）,6788,5.5英寸,2560x1440像素,1230万像素,800万像素,3450mAh,不可拆卸式电池,四核,4GB,5.6,9,2,6,6,6,8,外观漂亮,-1,系统强悍,-1,价格高,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Pixel XL
Google,Google Pixel（双4G）,5208,5英寸,1920x1080像素,1230万像素,800万像素,2770mAh,,四核,4GB,6.9,10,4.3,8,7.4,4.9,7,系统强悍,-1,价格高,-2,功能一般,-1,配置低,-1,性价比低,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Pixel
Google,Google Project Ara模块手机,3800,5.46英寸,1920x1080像素,210万像素,500万像素,3450mAh,,,3GB,8.5,28,8.3,8.3,8.7,8.7,8.7,外观漂亮,-1,屏幕大,-1,机身内存大,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Project Ara模块手机
Google,Google Nexus One,1600,3.7英寸,800x480像素,500万像素,,1400mAh,可拆卸式电池,,512MB,8.2,13,,,,,,硬件配置强悍,-2,外观漂亮,-1,系统强悍,-1,界面难看,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus One
HP,HP K3,1120,2.4英寸,,320万像素,,,,,256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP K3
HP,HP hw6828,1199,2.7英寸,240×320像素,200万像素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP hw6828
HP,HP 612c,2559,2.8英寸,240×320像素,300万像素,,1590mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP 612c
HP,HP iPAQ 512,1680,2英寸,176×220像素,130万像素,,1100mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP iPAQ 512
